title,short_description,sub_category,source_url,author,category,website,scraped_at
Tara Lipinski,"Tara Lipinski (born 1982) is an American former competitive figure skater, actress, sports commentator, and documentary film producer. A former competitor in women's singles, she was the 1998 Olympic champion, the 1997 world champion, a two-time Champions Series Final champion (1997–1998), and the 1997 U.S. national champion. Until 2019, she was the youngest single skater to win a U.S. Nationals and the youngest to become an Olympic and world champion. She was the first woman to complete a triple loop–triple loop combination, her signature jump element, in competition. Starting in 1997, Lipinski had a rivalry with fellow skater Michelle Kwan, which was played up by the American press, and culminated when Lipinski won the gold medal at the 1998 Olympics in Nagano. She retired from competitive figure skating in 1998. Lipinski became one of NBC's primary figure skating commentators in 2014, alongside sports commentator Terry Gannon and fellow figure skater and good friend Johnny Weir. (Full article...)",Featured Article,https://en.wikipedia.org/wiki/Tara_Lipinski,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195135
is elected,Laura Fernández Delgado (pictured) is elected as the president of Costa Rica.,In the News,https://en.wikipedia.org/wiki/2026_Costa_Rican_general_election,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195308
Clashes,"Clashes between the Balochistan Liberation Army and the armed forces in several districts of Balochistan, Pakistan, leave at least 225 people dead.",In the News,https://en.wikipedia.org/wiki/2026_Balochistan_attacks,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195329
releases over three million documents,The US Department of Justice releases over three million documents detailing the criminal activities of financier and convicted child sex offender Jeffrey Epstein.,In the News,https://en.wikipedia.org/wiki/Epstein_files,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195359
A winter storm,A winter storm causes widespread damage across North America and leaves more than 140 people dead.,In the News,"https://en.wikipedia.org/wiki/January_23%E2%80%9327,_2026_North_American_winter_storm",Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195404
More current events,More current events,In the News,https://en.wikipedia.org/wiki/Portal:Current_events,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195431
Nominate an article,Nominate an article,In the News,https://en.wikipedia.org/wiki/Wikipedia:In_the_news/Candidates,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195446
Treaty of Alliance,"1778 – France and the United States signed the Treaty of Amity and Commerce and the Treaty of Alliance, respectively establishing commercial and military ties between the two nations.",On This Day,https://en.wikipedia.org/wiki/Treaty_of_Alliance_(1778),Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195461
Battle of San Domingo,1806 – Napoleonic Wars: A British naval squadron captured or destroyed five French ships of the line at the Battle of San Domingo in the Caribbean Sea.,On This Day,https://en.wikipedia.org/wiki/Battle_of_San_Domingo,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195502
Henry Firth,"1918 – Conscientious objector Henry Firth died in a work camp on Dartmoor, England, triggering a strike over living conditions.",On This Day,https://en.wikipedia.org/wiki/Henry_Firth,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195524
